,year,title,n_steps,start_length,end_length,compression
440_1998,1998,44,1083,425899.6677378017,369511.82529275457,0.8676029902898131
440_1999,1999,44,1079,421334.19044205284,365702.8338505454,0.8679638209917394
440_2000,2000,44,1143,444193.67159559776,385306.55288159614,0.8674291812792562
440_2001,2001,44,1156,445034.25524394313,385924.99117361184,0.8671804172963475
440_2002,2002,44,1419,523572.6759770604,447985.91312556475,0.8556327204997088
440_2003,2003,44,1416,528000.9922765278,451904.39469584177,0.8558779269474701
440_2004,2004,44,1424,530621.352146526,453817.7898105557,0.8552573091428072
440_2005,2005,44,1424,530621.352146526,453817.7898105557,0.8552573091428072
440_2006,2006,44,1423,530865.7438228866,454024.96303494816,0.8552538345484675
440_2007,2007,44,1423,530865.7438228866,454024.96303494816,0.8552538345484675
440_2008,2008,44,1441,536833.7463123698,458936.9723599392,0.8548959068100304
440_2009,2009,44,1441,536833.7463123698,458936.9723599392,0.8548959068100304
440_2010,2010,44,1444,537552.418016914,459576.77104471694,0.8549431751049372
440_2011,2011,44,1444,537657.2134480512,459681.49950420257,0.8549713237477419
440_2012,2012,44,1444,537657.2134480512,459681.49950420257,0.8549713237477419
440_2013,2013,44,1431,533962.3123008898,456798.0088749869,0.8554873599722886
440_2014,2014,44,1338,523889.08393849275,447233.48454226024,0.8536797162866019
440_2015,2015,44,1382,531930.7889586103,453346.9006846715,0.8522667047948348
440_2016,2016,44,1378,532661.0674555155,454027.6886883712,0.852376335400726
440_2017,2017,44,1392,534922.1012222023,455853.1456370257,0.8521860371734165
440_2018,2018,44,1483,582055.4357879679,495627.2534802411,0.8515121120882188
440_2019,2019,44,1526,608235.5116947665,517328.84479759925,0.8505403496683908
450_1994,1994,45,3361,1371067.5034442495,1105625.6859957732,0.8063977034087223
450_1995,1995,45,3353,1368046.899917406,1103442.9456788786,0.8065826878782426
450_1996,1996,45,3326,1354695.840544173,1092708.7244707365,0.8066081638161685
450_1997,1997,45,3330,1352437.5112687887,1090936.8580569348,0.8066449273752195
450_1998,1998,45,3176,1276615.2074744815,1028659.045994044,0.8057706346997328
450_1999,1999,45,3176,1276615.2074744815,1028659.045994044,0.8057706346997328
450_2000,2000,45,3176,1276529.0545435655,1028555.6365317699,0.8057440078397113
450_2001,2001,45,3183,1285993.7408970208,1038395.170064921,0.8074651820160555
450_2002,2002,45,3183,1285945.7354753928,1038372.3103955309,0.8074775488187003
450_2003,2003,45,3140,1278868.900746965,1034414.6756894976,0.8088512239880992
450_2004,2004,45,3178,1281341.261788944,1035608.6479874023,0.8082223517422187
450_2005,2005,45,3184,1286002.0599842088,1039552.8615976705,0.8083601838168404
450_2006,2006,45,3193,1288386.7039562357,1041535.9612373293,0.808403220895633
450_2007,2007,45,3193,1288386.7039562357,1041535.9612373293,0.808403220895633
450_2008,2008,45,3183,1289304.330875412,1041941.5133068543,0.8081424132030928
450_2009,2009,45,3201,1291936.0124263347,1043905.2481627604,0.8080162160680409
450_2010,2010,45,3199,1291931.3227868443,1043892.7394329713,0.8080094669282998
450_2011,2011,45,3199,1291931.3227868443,1043892.7394329713,0.8080094669282998
450_2012,2012,45,3200,1297771.4817658516,1049012.687260301,0.8083184921223038
450_2013,2013,45,3146,1285895.9232785208,1042208.1785280727,0.8104918599250693
450_2014,2014,45,3141,1285766.7848130795,1041141.328125142,0.8097435245821035
450_2015,2015,45,3155,1301111.3387076785,1053229.075251971,0.8094842031721011
450_2016,2016,45,3155,1301111.3387076785,1053229.075251971,0.8094842031721011
450_2017,2017,45,3155,1301111.3387076785,1053229.075251971,0.8094842031721011
450_2018,2018,45,3155,1301133.6558305232,1053255.813999445,0.8094908691967883
450_2019,2019,45,3154,1301092.1294690843,1053225.667109111,0.8094935348958601
460_1994,1994,46,1550,574817.1758468801,459263.4704410817,0.7989731165643185
460_1995,1995,46,1550,574817.1758468801,459263.4704410817,0.7989731165643185
460_1996,1996,46,1670,613264.1422332609,481812.0529602917,0.7856517604400061
460_1997,1997,46,1670,616310.6130046978,484368.21451474435,0.785915744908732
460_1998,1998,46,1737,634746.1282767545,499641.1253861806,0.7871511193658404
460_1999,1999,46,1737,634807.9014185491,499714.7683730293,0.7871905300113009
460_2000,2000,46,1738,636342.7071186181,501026.7492544029,0.7873536439555808
460_2001,2001,46,1742,641683.7026981853,505782.6998219976,0.7882118521870759
460_2002,2002,46,1885,715281.1598783602,567772.7749510655,0.7937756602559198
460_2003,2003,46,2038,773814.0011295781,613163.2110266354,0.7923909494162266
460_2004,2004,46,2120,801206.081085327,635053.9061275729,0.7926224240176989
460_2005,2005,46,2118,801774.1562355906,635623.1604911691,0.7927708264824637
460_2006,2006,46,3352,1607852.686710058,1286320.829410589,0.8000240569567488
460_2007,2007,46,3375,1623871.1764393463,1299669.5475078472,0.8003526180922957
460_2008,2008,46,3490,1656286.1639401952,1325672.245297754,0.8003884076070933
460_2009,2009,46,3498,1664303.765117704,1332403.4309755699,0.800577069463842
460_2010,2010,46,3639,1772766.1319630088,1421840.4467542572,0.8020462604279525
460_2011,2011,46,3639,1773236.6309374191,1422194.5020154961,0.8020331168455814
460_2012,2012,46,3598,1780560.9943186478,1427950.7301925244,0.8019667592117203
460_2013,2013,46,3551,1762154.5114200942,1414711.058387724,0.8028303132440011
460_2014,2014,46,3592,1802562.4093410019,1446734.0116275083,0.8025985697529436
460_2015,2015,46,3602,1806988.720734689,1449964.754211619,0.8024204786525118
460_2016,2016,46,3718,1856499.8804341273,1487812.1771096718,0.8014070955726423
460_2017,2017,46,3832,1910977.0625565983,1529645.84913223,0.800452228916759
460_2018,2018,46,3951,1998301.4459847475,1601819.040217319,0.8015902923134578
460_2019,2019,46,4057,2048757.5913191673,1638542.881769015,0.7997739160121815
470_1994,1994,47,2386,1073019.157988517,914403.956578695,0.8521785932441669
470_1995,1995,47,2377,1072568.0709018793,914080.160419035,0.8522351030367907
470_1996,1996,47,2877,1347611.1542122045,1136039.2533920852,0.8430022635544291
470_1997,1997,47,2912,1374147.0097502468,1157317.7140246462,0.8422080794943405
470_1998,1998,47,2938,1388191.8796480242,1168648.5166490031,0.8418494112970274
470_1999,1999,47,3075,1452888.624386553,1220185.7730986718,0.8398343497347333
470_2000,2000,47,3247,1561548.891407203,1308028.2956381019,0.8376479934991732
470_2001,2001,47,3240,1560047.9595164773,1306599.6133850208,0.8375381060656555
